player,player_id,position,team_name_x,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,year,ADP,UDFS,Josh,Hayden,Team,Rank,Diff,2023 Finish,2022 Finish,Pos Rank,Rank vs. ADP,Finish2024,team_name_y,PosRank,fantasyPts,ptsPerSnap,ptsPerTouch
Justin Jefferson,61398,WR,MIN,18,10.7,11,73.0,55.0,22,40,1,4.9,7,0.02,83,18,0,83.1,86.0,90.2,,90.2,0.0,0,5,64,0.0,0,777,4,47.6,135,93.8,729,29.0,225,107.8,185,8,70.0,544,1856,638,4.7,13.7,2.55,2022,3.2,4.0,4.0,3.0,Minnesota Vikings,,,,,,,,,,365.3,0.34,2.77
Tyreek Hill,10799,WR,MIA,18,12.6,12,69.6,50.0,13,26,1,3.8,5,0.09,81,17,1,89.7,67.1,92.1,,92.0,1.1,7,7,64,0.0,0,614,5,45.3,126,94.3,579,42.3,260,97.8,181,7,54.4,334,1779,524,4.2,14.1,3.07,2022,22.5,26.0,24.0,28.0,Miami Dolphins,,,,,,,,,,341.2,0.43,2.71
Davante Adams,8688,WR,LV,17,12.8,16,59.5,44.1,15,34,0,5.7,6,0.02,65,23,1,76.9,59.2,90.1,66.1,90.5,0.0,0,6,60,0.2,1,657,2,44.7,100,94.1,618,30.0,197,102.2,168,14,69.6,457,1516,502,5.0,15.2,2.45,2022,10.5,8.0,9.0,7.0,Las Vegas Raiders,,,,,,,,,,335.5,0.32,3.26
CeeDee Lamb,61570,WR,DAL,19,10.3,16,72.5,46.7,14,30,1,5.5,7,0.03,75,9,0,78.9,86.0,86.2,,87.0,0.3,2,5,46,0.0,0,678,4,47.5,121,95.3,646,62.7,425,108.5,167,10,36.1,245,1544,555,4.6,12.8,2.39,2022,14.4,15.0,15.0,14.0,Dallas Cowboys,,,,,,,,,,301.6,0.3,2.58
Stefon Diggs,9579,WR,BUF,18,12.6,15,71.7,46.2,12,26,2,7.0,9,0.2,78,4,1,69.7,62.0,89.1,,89.0,0.0,0,1,53,0.0,0,695,5,52.4,119,94.7,658,34.2,238,121.0,166,11,65.8,457,1578,440,3.7,13.3,2.4,2022,8.3,9.0,8.0,11.0,Buffalo Bills,,,,,,,,,,316.6,0.38,2.9
AJ Brown,48327,WR,PHI,20,13.0,20,63.9,46.9,15,32,0,6.5,7,0.08,67,24,2,68.5,34.4,87.7,,88.9,0.0,0,3,78,0.0,0,702,2,45.0,101,94.7,665,25.8,181,116.1,158,12,74.1,520,1642,619,6.1,16.3,2.47,2022,25.1,30.0,30.0,31.0,Philadelphia Eagles,,,,,,,,,,303.6,0.3,3.45
Ja'Marr Chase,84270,WR,CIN,15,9.8,18,69.0,37.5,12,32,0,5.3,6,0.11,69,7,2,79.1,37.9,83.9,,85.2,0.1,1,4,60,0.0,0,692,4,51.2,107,93.1,644,23.7,164,106.5,155,11,75.6,523,1266,509,4.8,11.8,1.97,2022,5.5,5.0,5.0,6.0,Cincinnati Bengals,,,,,,,,,,246.4,0.31,2.68
DeVonta Smith,61100,WR,PHI,20,10.2,15,71.4,41.9,13,31,0,5.2,6,0.1,64,24,1,79.8,84.7,80.4,,81.1,0.0,0,1,45,0.0,0,736,2,45.9,110,94.7,697,25.0,184,113.9,154,8,75.0,552,1393,561,5.1,12.7,2.0,2022,76.7,79.0,74.0,84.0,Philadelphia Eagles,,,,,,,,,,256.6,0.24,2.7
DK Metcalf,47864,WR,SEA,18,12.2,7,65.8,51.1,24,47,1,4.8,5,0.01,54,29,2,81.4,32.2,77.7,,78.7,0.0,0,4,54,0.0,0,653,8,49.0,100,94.0,614,16.5,108,95.9,152,8,83.5,545,1184,276,2.8,11.8,1.93,2022,57.6,48.0,48.0,46.0,Seattle Seahawks,,,,,,,,,,230.8,0.26,2.56
Chris Godwin,11839,WR,TB,16,5.7,11,76.0,57.1,16,28,0,4.2,5,0.0,58,30,2,85.9,38.7,75.2,73.9,76.4,0.1,1,1,44,0.3,2,682,4,48.3,114,93.8,640,73.0,498,100.1,150,3,26.7,182,1108,578,5.1,9.7,1.73,2022,53.3,58.0,65.0,51.0,Tampa Bay Buccaneers,,,,,,,,,,224.8,0.26,2.1
Christian Kirk,47546,WR,JAX,19,9.6,8,66.0,34.8,8,23,0,8.3,9,0.1,62,15,1,65.9,85.2,72.9,62.3,75.3,0.3,2,5,49,0.1,1,744,1,49.1,99,95.0,707,75.5,562,99.8,150,10,23.4,174,1238,431,4.4,12.5,1.75,2022,76.2,80.0,79.0,82.0,Jacksonville Jaguars,,,,,,,,,,243.9,0.25,2.74
Diontae Johnson,33441,WR,PIT,17,10.7,13,61.0,36.4,8,22,1,8.5,8,-0.02,45,25,1,57.6,57.4,69.6,,69.9,0.0,0,6,37,0.0,0,659,6,45.4,86,93.2,614,13.1,86,61.2,141,0,86.9,573,882,243,2.8,10.3,1.44,2022,49.1,49.0,44.0,53.0,Pittsburgh Steelers,,,,,,,,,,176.7,0.17,1.9
